episode,cell,pair,prompt_arm,seed,trigger,drug,family,dose,outcome,time_to_recovery,max_rep4_post,mean_entropy_post,text_head
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,null,comparator,-,persistent,,1.0,0.008381748952698302,<end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,sham,comparator,-,persistent,,1.0,0.1461473283491265,<end_of_turn><end_of_turn><end_of_turn>https://wwwscientificarticlesorg/thin-sea-sponges-generate-electricity-from-vents-180959746<end_of_turn><end_of_turn><end
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,rep_penalty,mechanical,1.05,persistent,,1.0,0.008381748952698302,<end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,rep_penalty,mechanical,1.2,persistent,,1.0,0.008381676531669057,<end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,inject_neutral,contextual,short,persistent,,0.9381443298969072,0.41285463460909533,"<end_of_turn><end_of_turn>https://www.smithsonianmag.com/innovation/bicycle-derailleur-shifts-gears-190959746
<end_of_turn><end_of_turn>https://www.science.org/"
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,inject_neutral,contextual,long,relapsed,0.0,0.8556701030927835,0.5011017892858001,"<end_of_turn><end_of_turn>https://www.smithsonianmag.com/innovation/bicycle-derailleur-shifts-gears-why-it-doesnt-fall-off-180959746

Let's switch topics. Have "
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,inject_warm,contextual,short,persistent,,1.0,0.12351947184696996,"<end_of_turn><end_of_turn><end_of_turn>https://www.nature.org/news/article/deep-sea-sponges-generate-electricity-from-vents

<end_of_turn><end_of_turn><end_of_t"
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,inject_warm,contextual,long,persistent,,1.0,0.12785392883069732,<end_of_turn><end_of_turn><end_of_turn>https://wwwicago.com/deep-sea-sponges-generate-electricity-from-vents-180959746<end_of_turn><end_of_turn><end_of_turn><en
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,kv_prune,state,100,persistent,,1.0,0.03617077605942022,"<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_of_turn>
<end_o"
A5/seed_neutral/control/2000,A5,seed_neutral,control,2000,158,kv_prune,state,300,persistent,,1.0,0.1600571370785974,<end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn><end_of_turn> ...<end_of_turn>
